,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Loaf (seasonal),527,3250,13.95%,,75,130,36.59%,22,129,14.57%,8,82,8.89%,17,133,11.33%,1,139,0.71%,13,56,18.84%,17,185,8.42%,61,212,22.34%,3,86,3.37%,36,190,15.93%,14,118,10.61%,45,168,21.13%,6,124,4.62%,6,76,7.32%,24,55,30.38%,0,379,0.00%,36,138,20.69%,32,255,11.15%,22,84,20.75%,19,171,10.00%,33,72,31.43%,29,107,21.32%,8,161,4.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Cookie,381,4289,8.16%,,40,313,11.33%,33,291,10.19%,6,152,3.80%,3,165,1.79%,3,257,1.15%,0,61,0.00%,11,283,3.74%,18,331,5.16%,31,160,16.23%,36,333,9.76%,11,224,4.68%,20,228,8.06%,17,126,11.89%,6,103,5.50%,9,59,13.24%,5,252,1.95%,26,138,15.85%,17,200,7.83%,15,74,16.85%,12,220,5.17%,29,50,36.71%,14,164,7.87%,19,105,15.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin Cream Cheese loaf (seasonal),0,0,#DIV/0!,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Fe Veggie Burrito ,423,2791,13.16%,,20,74,21.28%,10,68,12.82%,2,119,1.65%,33,133,19.88%,1,140,0.71%,7,30,18.92%,15,123,10.87%,37,124,22.98%,2,89,2.20%,0,4,0.00%,30,134,18.29%,27,126,17.65%,0,86,0.00%,18,122,12.86%,19,80,19.19%,49,400,10.91%,28,183,13.27%,21,220,8.71%,8,86,8.51%,36,177,16.90%,12,97,11.01%,15,51,22.73%,33,125,20.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sausage & Cheddar Breakfast Sandwich (GF),826,8054,9.30%,,67,334,16.71%,30,318,8.62%,19,278,6.40%,9,395,2.23%,33,207,13.75%,3,97,3.00%,67,487,12.09%,71,460,13.37%,9,309,2.83%,1,169,0.59%,36,396,8.33%,45,443,9.22%,45,269,14.33%,18,152,10.59%,21,145,12.65%,65,1010,6.05%,68,501,11.95%,78,633,10.97%,18,210,7.89%,34,519,6.15%,11,176,5.88%,58,213,21.40%,20,333,5.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twist (jalapeno/pizza),234,2507,8.54%,,16,82,16.33%,4,110,3.51%,4,47,7.84%,10,89,10.10%,3,113,2.59%,6,31,16.22%,5,119,4.03%,11,172,6.01%,10,81,10.99%,10,215,4.44%,16,120,11.76%,20,129,13.42%,26,96,21.31%,3,69,4.17%,21,52,28.77%,2,261,0.76%,10,133,6.99%,15,148,9.20%,12,61,16.44%,1,145,0.68%,17,74,18.68%,11,54,16.92%,1,106,0.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogurt Parfait with Granola,72,1794,3.86%,,0,36,0.00%,2,39,4.88%,0,27,0.00%,1,44,2.22%,0,29,0.00%,3,22,12.00%,0,75,0.00%,5,63,7.35%,0,23,0.00%,49,697,6.57%,0,48,0.00%,1,53,1.85%,0,30,0.00%,1,58,1.69%,1,50,1.96%,0,181,0.00%,0,65,0.00%,1,66,1.49%,6,11,35.29%,1,67,1.47%,0,43,0.00%,1,40,2.44%,0,27,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoothie pack,151,1329,10.20%,,19,34,35.85%,1,66,1.49%,1,19,5.00%,1,57,1.72%,3,53,5.36%,8,26,23.53%,8,73,9.88%,4,75,5.06%,2,50,3.85%,0,89,0.00%,14,50,21.88%,12,69,14.81%,3,43,6.52%,1,36,2.70%,7,25,21.88%,19,166,10.27%,7,92,7.07%,16,79,16.84%,10,39,20.41%,6,84,6.67%,6,10,37.50%,1,41,2.38%,2,53,3.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Boiled Egg,19,417,4.36%,,0,0,#DIV/0!,6,16,27.27%,0,3,0.00%,0,19,0.00%,0,35,0.00%,1,8,11.11%,0,0,#DIV/0!,2,36,5.26%,0,17,0.00%,7,85,7.61%,0,12,0.00%,0,0,#DIV/0!,0,0,#DIV/0!,0,34,0.00%,3,19,13.64%,0,63,0.00%,0,5,0.00%,0,38,0.00%,0,0,#DIV/0!,0,22,0.00%,0,0,#DIV/0!,0,0,#DIV/0!,0,5,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oatmeal (1 month expiration),30,139,17.75%,,0,1,0.00%,0,5,0.00%,0,7,0.00%,2,5,28.57%,0,2,0.00%,9,3,75.00%,0,6,0.00%,0,6,0.00%,0,6,0.00%,0,11,0.00%,0,2,0.00%,9,1,90.00%,0,3,0.00%,2,4,33.33%,4,5,44.44%,0,25,0.00%,0,2,0.00%,0,17,0.00%,0,1,0.00%,4,16,20.00%,0,5,0.00%,0,1,0.00%,0,5,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
