,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Fe Veggie Burrito ,516,4571,10.14%,,21,130,13.91%,0,144,0.00%,14,156,8.24%,22,224,8.94%,9,175,4.89%,37,66,35.92%,27,217,11.07%,28,279,9.12%,11,157,6.55%,2,31,6.06%,21,260,7.47%,13,239,5.16%,33,132,20.00%,43,174,19.82%,8,122,6.15%,65,608,9.66%,14,278,4.79%,57,324,14.96%,22,129,14.57%,43,283,13.19%,11,127,7.97%,12,117,9.30%,3,199,1.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sausage & Cheddar Breakfast Sandwich (GF),671,14015,4.57%,,11,686,1.58%,27,618,4.19%,37,512,6.74%,10,658,1.50%,27,315,7.89%,7,159,4.22%,32,867,3.56%,37,810,4.37%,50,573,8.03%,17,258,6.18%,16,745,2.10%,1,783,0.13%,13,543,2.34%,43,231,15.69%,19,185,9.31%,105,1680,5.88%,28,822,3.29%,53,1078,4.69%,16,412,3.74%,70,794,8.10%,6,268,2.19%,27,467,5.47%,19,551,3.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twist (jalapeno/pizza),415,4148,9.09%,,12,137,8.05%,9,166,5.14%,11,91,10.78%,26,136,16.05%,28,160,14.89%,9,51,15.00%,11,194,5.37%,18,244,6.87%,35,144,19.55%,14,402,3.37%,36,216,14.29%,24,229,9.49%,21,179,10.50%,10,115,8.00%,3,122,2.40%,20,387,4.91%,19,176,9.74%,14,222,5.93%,16,137,10.46%,14,207,6.33%,30,112,21.13%,23,148,13.45%,12,173,6.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogurt Parfait with Granola,58,3258,1.75%,,0,63,0.00%,1,71,1.39%,0,61,0.00%,0,93,0.00%,0,57,0.00%,0,56,0.00%,0,155,0.00%,0,129,0.00%,0,76,0.00%,49,1129,4.16%,0,110,0.00%,0,120,0.00%,0,67,0.00%,1,106,0.93%,0,88,0.00%,0,280,0.00%,0,94,0.00%,0,140,0.00%,6,41,12.77%,0,125,0.00%,1,66,1.49%,0,80,0.00%,0,51,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoothie pack,205,2279,8.25%,,28,78,26.42%,4,105,3.67%,6,37,13.95%,4,86,4.44%,0,67,0.00%,10,37,21.28%,8,117,6.40%,28,156,15.22%,9,91,9.00%,0,183,0.00%,13,101,11.40%,5,122,3.94%,4,59,6.35%,5,59,7.81%,6,60,9.09%,35,275,11.29%,16,117,12.03%,5,147,3.29%,3,85,3.41%,6,125,4.58%,0,21,0.00%,7,70,9.09%,3,81,3.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Boiled Egg,24,746,3.12%,,0,1,0.00%,0,23,0.00%,0,14,0.00%,0,49,0.00%,2,55,3.51%,0,54,0.00%,0,0,#DIV/0!,0,41,0.00%,4,3,57.14%,14,172,7.53%,0,38,0.00%,0,0,#DIV/0!,1,0,100.00%,0,58,0.00%,0,42,0.00%,1,85,1.16%,0,15,0.00%,0,47,0.00%,0,0,#DIV/0!,0,32,0.00%,0,0,#DIV/0!,2,0,100.00%,0,17,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oatmeal (1 month expiration),8,255,3.04%,,0,3,0.00%,0,10,0.00%,0,9,0.00%,1,19,5.00%,0,8,0.00%,0,10,0.00%,0,4,0.00%,0,9,0.00%,0,14,0.00%,0,35,0.00%,0,8,0.00%,4,2,66.67%,0,4,0.00%,3,10,23.08%,0,11,0.00%,0,33,0.00%,0,9,0.00%,0,31,0.00%,0,5,0.00%,0,10,0.00%,0,4,0.00%,0,1,0.00%,0,6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail Whole bean coffee,91,2023,4.30%,,4,109,3.67%,5,123,4.07%,0,0,#DIV/0!,3,59,5.08%,0,65,0.00%,0,25,0.00%,8,0,#DIV/0!,0,105,0.00%,8,47,17.02%,1,183,0.55%,1,70,1.43%,0,0,#DIV/0!,5,0,#DIV/0!,0,158,0.00%,0,59,0.00%,19,298,6.38%,5,168,2.98%,0,185,0.00%,10,50,20.00%,2,123,1.63%,9,44,20.45%,11,63,17.46%,0,89,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"9,623","132,994",6.75%,,377,"6,161",5.77%,382,"5,669",6.31%,287,"3,647",7.30%,284,"5,185",5.19%,306,"4,093",6.96%,236,"1,782",11.69%,582,"7,038",7.64%,546,"8,150",6.28%,418,"4,970",7.76%,511,"9,833",4.94%,432,"6,172",6.54%,341,"6,386",5.07%,445,"4,105",9.78%,403,"3,681",9.87%,172,"3,001",5.42%,915,"14,466",5.95%,537,"6,658",7.46%,623,"8,520",6.81%,392,"3,826",9.29%,391,"7,248",5.12%,212,"2,730",7.21%,570,"4,531",11.17%,261,"5,142",4.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
